Trial,mri-1.9.3,mri-2.3.3,mjit-rtl-2.5,ruby-OMR-preview,jruby-1.7.27,jruby-9.1.13,truffleruby-0.29
1,14.395914245529681,16.749897683400654,18.87757191708345,17.273552659111477,9.155647829250546,14.905332259977197,11.4519449280835
2,14.56395449103737,17.06290446782514,18.95540383634059,17.816781942445758,9.155647829250546,15.305641440556215,11.8608994044679
3,15.000294452725237,17.213001369099597,19.08325914397839,17.34215433674779,8.946321694430818,15.058180014110608,10.9190071146318
4,14.909735217934307,17.149772290206876,19.10040950727243,17.641784794860683,9.0361462741345,15.031166723042611,10.5623141079114
5,14.671776891352534,17.236248455720162,18.818966572772986,17.397376956490728,8.563274052320066,14.818234741135816,2.27466707492486
6,14.698169695369746,17.186221383763048,19.064761112740882,17.294205687746217,8.249311951566286,14.254111585578585,2.25205672176621
7,14.22626357947038,17.131792582821276,18.94076016894533,17.420573570781446,8.538900234256456,14.600681460938283,2.27670934200276
8,14.548787862320307,17.09575774437498,19.022480065327834,17.307078971070446,8.466604239723946,15.077742676006173,2.19328875500936
9,14.64599010402299,17.004185966008293,18.35113262689013,17.500915710850567,8.858269512546546,14.395719196682819,2.18498264106599
10,14.602201814988744,17.15697936297419,19.04755148400778,17.148586795797957,8.687258575301723,15.169584578554119,2.18093925430574
11,14.29547675969957,17.137356018902288,19.072827916890756,17.288493369405682,8.8062615899532,15.196826639012164,2.1716258703266
12,14.570891594726511,17.007666634911153,18.905371670070256,16.88442433660615,8.695651452798309,14.038881424655132,2.18722937988155
13,14.918715374577026,16.98289512417164,18.93033514474714,17.45293211826202,8.411213603849992,14.740226623371703,2.19604361626384
14,14.66898321306955,17.084461542405858,18.932811719492687,17.404768441284435,8.789063105723514,14.9083898083086,2.18442175094665
15,14.971826639876445,17.246040333635534,19.00307443363196,17.291180460322067,8.579599415885859,14.422282888537987,2.18437051523795
16,14.663991450703836,16.889165375920804,18.903715801291856,17.811143705324145,8.8062615899532,15.735583121562161,2.17733022337425
17,15.013592628417248,17.179680003749866,19.01588055669184,17.382988796300133,8.858267433830047,14.436300551109557,2.19904237124679
18,14.698707677499165,16.973249154399973,18.998106163230872,17.20005597809853,8.840865417381279,14.242272506077526,2.18763288297318
19,14.989578816454701,17.12332692822948,19.015394373067686,17.325741398783503,8.66217488220195,14.494350148814942,2.16461381963024
20,14.578820570612903,17.115231854527273,19.003360602793474,17.787213943030004,8.530805147400299,14.156892006724302,2.17859016872938
21,14.928532841894622,17.217638397249015,18.931138934921815,17.346535069268977,8.780486987929276,15.231074180282791,2.18302337371858
22,15.008292011106905,17.154301610439692,19.084899793603256,17.259115034887344,6.4608763295516685,14.062289021545963,2.1335101303344
23,14.622644125993695,16.976750280418308,19.02720883265442,17.137265530596565,6.726457101853018,14.278418036796646,2.17328130209816
24,14.985032726025526,16.99444270026425,18.967759001848275,17.642472161322058,6.716418340652844,10.519020485801011,2.19249254838396
25,14.981422810545528,17.120197696987148,19.091836224917106,17.22709438585553,6.564551175737441,14.743807448875746,2.18274681438542
