Trial,mri-1.9.3,mri-2.3.3,mjit-rtl-2.5,ruby-OMR-preview,jruby-1.7.27,jruby-9.1.13
1,5.613711185,4.920169767,4.362438591,5.103749588,27.153814165,16.263552716
2,11.13095524,9.874924311,8.701492999,10.218440066,54.469151968,32.463158912
3,16.641816034,14.837727762,13.051991991,15.307655869,82.045755513,48.418559675
4,22.105774833,19.802076028,17.409363894,20.36908246,109.348169176,64.237329034
5,27.583306778,24.780784077,21.736493078,25.425874643,136.127997143,80.004879998
6,33.106834739,29.74652841,26.07142747,30.529557619,163.355046979,95.795177501
7,38.580163799,34.723078211,30.424353511,35.61539946,190.992887654,112.49592872
8,43.992333793,39.718249177,34.751352785,40.754463267,218.935177203,128.242046829
9,49.405079631,44.689637859,39.137060994,45.851039171,245.917012048,144.076113065
10,54.816602821,49.686611662,43.496499311,50.996794886,273.174645009,159.965748276
11,60.197946267,54.68460417,47.824623823,56.135732546,299.995883688,175.772536761
12,65.617977062,59.63198117,52.202799361,61.241193084,326.707520509,191.677701646
13,71.082117255,64.591414722,56.583014699,66.38699165,353.711113102,207.379109583
14,76.454421997,69.553321805,60.912144268,71.520969377,380.353233965,223.200932792
15,81.829751856,74.55752299,65.261025973,76.614723552,407.130820998,239.154164669
16,87.429256828,79.553116351,69.634946687,81.748825316,433.80503779,254.785792464
17,92.802320326,84.547011515,74.067802641,86.858215524,460.36527364,270.511994238
18,98.197330843,89.499306669,78.452894189,91.960599716,487.161416991,286.110803259
19,103.566860897,94.500589652,82.808153082,97.047698027,513.741438427,301.844564319
20,108.934451198,99.484090965,87.205955528,102.185396708,540.407581186,317.633617833
21,114.28321092,104.434545852,91.562794433,107.349461757,566.951403539,333.545132673
22,119.597392329,109.40831266,95.915829357,112.431901646,593.87149128,349.654424625
23,124.950378642,114.373922066,100.256877525,117.517282093,620.663000476,365.74531719
24,130.255535591,119.342368454,104.613684819,122.623437993,647.434175475,381.455030389
25,135.582463688,124.329802136,108.973338454,127.698558094,674.223993107,397.484281785
